food,Caloric Value,Fat,Carbohydrates,Protein,Sugars,Dietary Fiber,Sodium,Cholesterol,Nutrition Density
shortcake,98,4.0,13.7,1.7,0.0,0.0,0.1,0.8,78.182
cherry pie,486,22.0,69.3,5.0,0.0,0.0,0.3,0.0,119.444
dutch apple pie,397,15.8,61.0,3.0,30.2,2.2,0.3,0.0,110.281
chocolate cake,352,14.3,50.7,5.0,0.0,1.5,0.3,55.1,130.2
marshmallow,64,0.033,16.3,0.4,11.5,0.013,0.039,0.0,17.445
sugar apple,72,0.2,18.2,1.6,0.0,3.4,0.045,0.0,23.644
toffee,67,3.9,7.8,0.1,7.6,0.0,0.044,12.5,12.023
vanilla fudge with nuts,123,3.9,21.1,0.8,20.1,0.3,0.075,3.7,39.577
peanuts chocolate coated,21,1.3,2.0,0.5,1.5,0.2,0.063,0.4,8.305
caramel with nuts chocolate coated,66,2.9,8.5,1.3,5.8,0.6,0.041,0.0,24.683
gingerbread,263,12.1,36.4,2.9,0.0,0.0,0.2,23.7,106.123
rolo nestle,24,1.0,0.2,0.009,0.078,0.0,0.0,0.0,1.234
vanilla fudge,108,1.5,23.2,0.3,22.6,0.0,0.04,4.2,35.944
halavah,328,15.1,42.3,8.7,0.0,3.2,0.1,0.0,95.618
praline,189,10.1,23.2,1.3,21.8,1.4,0.016,0.0,53.4
fruit juice bar,67,0.089,15.6,0.9,13.5,0.8,0.011,0.0,28.671
peanut brittle,138,5.4,20.2,2.1,14.5,0.7,0.1,3.4,36.343
butterscotch,21,0.2,4.8,0.079,4.3,0.0,0.039,0.5,5.351
chocolate coffee beans,155,9.4,15.6,2.1,14.4,1.6,0.006,5.7,77.127
nougat with almonds,56,0.2,12.9,0.5,11.7,0.5,0.061,0.0,18.658
carob,135,7.8,14.1,2.0,8.5,1.0,0.015,0.3,25.013
peanut butter fudge,62,1.1,12.4,0.6,11.7,0.1,0.085,0.5,21.055
sugar coated almonds,17,0.6,2.4,0.4,2.2,0.013,0.021,0.0,6.936
chocolate coated marshmallow,118,4.7,19.0,1.1,12.5,0.6,0.002,0.0,39.096
raisins chocolate coated,390,14.8,68.4,4.1,62.2,3.1,0.021,3.0,178.329
chewing gum sugarless,5,0.013,1.9,0.0,0.0,0.078,0.001,0.0,2.378
chewing gum,11,0.032,2.9,0.0,2.0,0.012,0.083,0.0,2.973
chocolate syrup,109,0.4,25.4,0.8,19.4,1.0,0.061,0.0,33.955
chocolate fudge syrup,67,1.7,12.0,0.9,6.6,0.5,0.084,0.2,24.726
m ms milk chocolate mars,207,8.9,29.9,1.8,26.7,1.2,0.018,5.9,86.651
milk chocolate with almonds,216,14.1,21.9,3.7,18.0,2.5,0.051,7.8,134.811
chocolate fudge,70,1.8,13.0,0.4,12.4,0.3,0.032,2.4,24.119
milk chocolate with rice cereal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m ms peanut chocolate mars,93,4.7,10.9,1.7,9.1,0.7,0.017,1.4,36.623
dark chocolate,165,9.7,18.0,1.5,13.8,2.2,0.013,2.1,31.848
chocolate semisweet,806,50.4,107.4,7.1,91.6,9.9,0.042,0.0,233.9
after eight mints nestle,36,1.0,6.7,0.1,5.6,0.2,0.025,0.0,9.163
milk chocolate,37,2.1,4.2,0.5,3.6,0.2,0.045,1.6,20.464
white chocolate,162,9.6,17.8,1.8,17.7,0.081,0.009,6.3,89.212
chocolate,208,14.0,24.8,1.6,21.1,2.3,0.001,0.0,53.6
twix mars,146,7.2,18.8,1.4,14.0,0.3,0.064,2.0,27.86
kit kat nestle,62,3.3,7.6,0.7,6.5,0.2,0.022,1.1,11.843
snickers mars,280,13.6,35.1,4.3,28.8,1.3,0.1,7.4,54.826
milky way mars,264,10.0,41.3,2.3,34.6,0.6,0.021,5.2,54.438
clif bar,235,4.0,44.5,10.0,21.5,5.0,0.1,0.0,378.2
gum drops,18,0.042,4.4,0.0,3.5,0.0,0.008,0.0,4.418
skittles wild berry mars,249,2.6,56.3,0.1,47.1,0.0,0.036,0.0,100.6
skittles original mars,251,2.7,56.3,0.1,47.0,0.0,0.025,0.0,100.5
skittles tropical mars,251,2.7,56.3,0.1,47.0,0.0,0.095,0.0,100.7
fruit leather,52,0.4,12.0,0.029,6.9,0.0,0.0,0.0,33.811
taffy,60,0.5,13.7,0.087,10.3,0.0,0.028,1.4,14.358
eisbonbons mac iver,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caramels,39,0.8,7.8,0.5,6.6,0.0,0.015,0.7,23.208
hard candy,24,0.067,5.9,0.0,3.8,0.0,0.021,0.0,6.182
jellybeans,4,0.043,1.0,0.0,0.8,0.083,0.076,0.0,1.216
jellies,56,0.069,14.7,0.005,10.8,0.2,0.016,0.0,16.779
wheat germ toasted,115,3.2,14.9,8.7,2.3,4.5,0.06,0.0,49.3
crispy brown rice,124,1.1,27.5,2.3,2.9,2.3,0.086,0.0,42.6
bran flakes asda,109,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.8
amaranth cooked,251,3.9,46.0,9.3,0.0,5.2,0.095,0.0,185.2
triticale,645,4.0,138.5,25.1,0.0,0.0,0.049,0.0,243.5
barley raw,42,0.1,9.3,1.2,0.094,1.9,0.016,0.0,16.3
bulgur dry,171,0.7,37.9,6.1,0.2,9.2,0.071,0.0,72.6
cottonseed kernels roasted,754,54.1,32.6,48.6,0.0,8.2,0.073,0.0,313.9
rice bran,373,24.6,58.6,15.8,1.1,24.8,0.036,0.0,213.0
chaptti roti indian bread,491,2.5,0.089,7.0,68.4,0.0,0.0,0.0,9.551
quinoa cooked,222,3.6,39.4,8.1,1.6,5.2,0.026,0.0,90.6
dar vida swiss original,116,3.1,0.5,0.0,0.0,0.0,0.0,0.0,3.6
teff cooked,255,1.6,50.0,9.8,0.0,7.1,0.053,0.0,197.2
couscous dry,650,1.1,134.0,22.1,0.0,8.7,0.031,0.0,209.3
weetabix weetabix,2078,11.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5
oat bran cooked,88,1.9,25.1,7.0,0.0,5.7,0.082,0.0,63.5
buckwheat cooked,155,1.0,33.5,5.7,1.5,4.5,0.053,0.0,57.8
millet puffed,74,0.7,16.8,2.7,0.1,0.6,0.076,0.0,23.1
oat bran raw,23,0.5,4.9,1.3,0.1,1.2,0.036,0.0,65.9
popcorn oil popped,64,4.8,5.0,0.8,0.027,0.9,0.018,0.0,12.109
kamut cooked,251,1.6,52.4,11.1,0.0,6.7,0.038,0.0,92.5
wheat bran,125,2.5,37.4,9.0,0.2,24.8,0.015,0.0,122.1
cheese popcorn,58,3.7,5.7,1.0,0.0,1.1,0.002,1.2,24.284
raisin bran crunch kelloggs,90,0.5,21.2,1.9,9.0,0.0,0.0,0.0,23.6
couscous cooked,176,0.3,36.5,6.0,0.2,2.2,0.054,0.0,58.2
multigrain cheerios general mills,4,0.005,1.0,0.038,0.2,0.1,0.0,0.072,1.248
bulgur cooked,151,0.4,33.8,5.6,0.2,8.2,0.049,0.0,67.9
popcorn air popped,31,0.4,6.2,1.0,0.086,1.2,0.016,0.0,9.7
teff raw,708,4.6,141.1,25.7,3.6,15.4,0.053,0.0,548.9
spelt cooked,246,1.6,51.3,10.7,0.0,7.6,0.041,0.0,93.8
millet raw,756,8.4,145.7,22.0,0.0,17.0,0.013,0.0,215.1
popcorn unpopped,106,1.2,20.9,3.1,0.3,3.6,0.001,0.0,31.1
whole wheat cooked,150,1.0,33.2,4.8,0.2,3.9,0.6,0.0,61.3
wheat sprouted,214,1.4,45.9,8.1,0.0,1.2,0.026,0.0,91.9
whole wheat dry,96,0.6,21.1,3.1,0.1,2.7,0.036,0.0,39.6
caramel popcorn,122,3.6,22.4,1.1,15.1,1.5,0.069,1.4,41.396
wheat puffed,44,0.1,9.6,1.8,0.0,0.5,0.03,0.0,19.2
roggenmischbrot sonnenblumenkerne aldi,82,3.1,0.0,0.0,0.0,0.0,0.0,0.0,3.1
wheat germ,112,3.0,16.1,7.2,0.0,4.1,0.037,0.0,44.4
microwave popcorn,465,26.3,49.8,7.3,0.3,8.7,0.6,0.0,93.352
millet cooked,207,1.7,41.2,6.1,0.2,2.3,0.046,0.0,57.6
kamut raw,627,4.1,130.9,27.3,15.2,16.9,0.012,0.0,180.788
wheat durum,651,4.7,136.6,26.3,0.0,0.0,0.032,0.0,239.7
sorghum,651,6.3,143.3,21.7,0.0,12.1,0.045,0.0,245.6
white wheat,657,3.3,145.7,21.7,0.8,23.4,0.094,0.0,264.3
rye,571,2.8,128.2,17.5,1.7,25.5,0.078,0.0,219.0
spelt raw,588,4.2,122.1,25.4,11.9,18.6,0.076,0.0,225.0
buckwheat raw,41,0.4,8.6,1.6,0.0,1.2,0.054,0.0,14.3
honey cereali general mills,104,2.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
barley cooked,193,0.7,44.3,3.5,0.4,6.0,0.064,0.0,73.9
oats,39,0.7,6.6,1.7,0.0,1.1,0.074,0.0,16.0
amaranth raw,37,0.7,6.5,1.4,0.2,0.7,0.077,0.0,26.4
semolina,601,1.8,121.6,21.2,0.0,6.5,0.097,0.0,186.8
quinoa dry,221,3.6,38.5,8.5,0.0,4.2,0.026,0.0,85.7
wheat shredded,155,1.0,36.2,5.2,0.4,5.5,0.086,0.0,76.9
cattail,5,0.0,1.0,0.2,0.074,0.9,0.031,0.0,12.7
peanut granola bar,116,5.7,15.0,2.4,8.2,0.7,0.006,0.0,34.218
vanilla bluberry bar kind,49,1.4,0.9,0.0,0.096,0.0,0.0,0.0,2.3
coconut granola bar,150,9.1,15.6,1.5,9.7,1.8,0.006,0.0,40.5
almond granola bar,119,6.1,14.9,1.8,0.0,1.2,0.067,0.0,32.3
chocolate chip granola bar,105,3.9,17.3,1.8,0.0,1.1,0.062,0.0,43.38
fruit granola bar,82,0.2,18.6,1.4,13.3,1.8,0.028,0.0,24.1
granola bar,99,4.2,13.5,2.1,6.0,1.1,0.084,0.0,34.5
peanut bar,209,13.5,19.0,6.2,16.9,1.6,0.059,0.0,71.9
milk cereal bar,103,2.7,18.0,1.6,11.5,0.1,0.087,1.5,130.334
almond rice bar,128,5.7,18.1,2.0,0.0,1.0,0.0,0.0,52.5
fruit nut squares,55,1.3,10.3,0.3,6.4,0.3,0.086,0.0,14.762
rice wheat cereal bar,90,2.0,16.0,2.0,7.0,0.4,0.1,0.0,27.8
crisped rice bar,113,3.8,20.4,1.4,0.0,0.6,0.01,0.0,33.9
brown rice raw,685,5.4,142.9,14.7,1.6,6.5,0.086,0.0,214.8
rice pilaf cooked,352,8.8,61.1,7.0,0.6,1.4,1.0,0.0,149.399
beef flavored rice raw,657,2.3,139.1,19.8,0.0,2.9,2.4,0.0,227.9
wild rice cooked,166,0.6,35.0,6.5,1.2,3.0,0.008,0.0,51.0
wild rice raw,571,1.7,119.8,23.6,4.0,9.9,0.051,0.0,191.7
congee with pork shrimp and squid plus egg,178,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3
white rice pasta cooked,246,5.7,43.3,5.1,0.0,5.1,1.1,2.0,77.7
chicken flavored rice raw,601,2.2,127.3,17.9,4.0,2.0,2.1,0.0,184.3
instant white rice raw,361,0.9,78.2,7.4,0.026,1.8,0.039,0.0,115.2
rice crisps,107,0.4,24.1,1.8,2.3,0.2,0.2,0.0,43.9
parboiled white rice raw,692,1.9,149.6,13.9,0.6,3.3,0.055,0.0,306.3
instant white rice cooked,193,0.8,41.4,3.6,0.0,1.0,0.001,0.0,62.9
rice pilaf raw,732,2.8,155.7,21.3,3.1,2.4,2.7,0.0,356.56
rice cracker cake,111,1.2,23.0,2.0,0.2,1.2,0.097,0.0,30.9
parboiled white rice cooked,194,0.6,41.2,4.6,0.2,1.4,0.088,0.0,80.7
white rice steamed,199,0.4,44.7,4.2,0.0,1.2,0.009,0.0,57.6
brown rice cake,35,0.3,7.3,0.7,0.047,0.4,0.024,0.0,9.8
glutinous white rice raw,685,1.0,151.1,12.6,0.0,5.2,0.015,0.0,193.3
white rice pasta raw,600,4.0,122.8,15.3,0.0,0.0,3.0,3.3,224.6
glutinous white rice cooked,169,0.3,36.7,3.5,0.078,1.7,0.027,0.0,45.9
brown rice cooked,218,1.6,45.8,4.5,0.7,3.5,0.086,0.0,75.9
beef flavored rice cooked,319,7.9,54.4,7.0,0.0,1.5,0.9,0.0,97.7
white rice cooked,205,0.4,44.5,4.3,0.015,0.6,0.077,0.0,67.5
chicken flavored rice cooked,317,8.0,54.8,6.2,1.5,1.6,0.9,0.0,89.138
white rice raw,675,1.2,147.9,13.2,0.2,2.4,0.081,0.0,224.5
cheese imitation,441,36.2,1.1,28.3,1.1,0.0,0.8,17.0,863.2
cheshire cheese,110,8.7,1.4,6.6,0.0,0.0,0.2,29.1,198.767
monterey cheese,421,34.2,0.8,27.7,0.6,0.0,0.7,100.6,906.7
edam cheese,107,8.3,0.4,7.5,0.0,0.0,0.3,26.7,235.628
fontina cheese,420,33.6,1.7,27.6,1.7,0.0,0.9,125.3,657.4
monterey cheese low fat,350,24.4,0.8,31.9,0.6,0.0,0.6,73.5,854.8
colby cheese,445,36.3,2.9,26.8,0.6,0.0,0.7,107.4,841.3
american cheese,93,7.9,0.9,4.5,0.6,0.0,0.4,25.0,274.886
blue cheese,106,8.6,0.7,6.4,0.2,0.0,0.3,22.5,174.154
margarine with yoghurt,88,9.8,0.073,0.058,0.0,0.0,0.018,0.0,12.971
sunflower seed butter,99,8.8,3.7,2.8,1.7,0.9,0.065,0.0,27.5
hazelnut oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
menhaden fish oil,1966,218.0,0.0,0.0,0.0,0.0,0.0,1135.8,218.0
cod liver fish oil,123,13.6,0.0,0.0,0.0,0.0,0.0,77.5,17.7
sardine oil,123,13.6,0.0,0.0,0.0,0.0,0.0,96.6,13.6
cupu assu oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
lard,115,12.8,0.0,0.0,0.0,0.0,0.0,12.2,12.8
sesame butter,94,8.1,3.8,2.9,0.0,0.9,0.031,0.0,172.4
margarine spread,59,6.7,0.1,0.082,0.0,0.0,0.019,0.1,7.547
lard vegetable oil,115,12.8,0.0,0.0,0.0,0.0,0.0,7.2,12.8
shortening,113,12.8,0.0,0.0,0.0,0.0,0.0,0.0,12.8
vegetable oil spread,75,8.4,0.1,0.007,0.0,0.0,0.081,0.1,11.613
cottonseed oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
vegetable oil spread fat free,6,0.5,0.4,0.2,0.0,0.0,0.1,0.2,7.001
soy margarine,88,9.9,0.0,0.0,0.0,0.0,0.1,0.0,12.642
margarine with salt,100,11.3,0.017,0.031,0.0,0.0,0.1,0.0,13.618
margarine,102,11.5,0.018,0.037,0.0,0.0,0.091,0.0,13.719
salmon fish oil,123,13.6,0.0,0.0,0.0,0.0,0.0,66.0,13.6
nutmeg butter oil,1927,218.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
almond butter,98,8.9,3.0,3.4,0.7,1.6,0.037,0.0,73.0
sour cream shoprite,60,5.0,1.0,0.0,0.014,0.0,0.0,0.0,6.0
ucuhuba butter oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
chicken fat,115,12.8,0.0,0.0,0.0,0.0,0.0,10.9,12.8
herring fish oil,123,13.6,0.0,0.0,0.0,0.0,0.0,104.2,13.6
bacon grease,39,4.3,0.0,0.0,0.0,0.0,0.009,4.1,4.3
turkey fat,45,5.0,0.0,0.0,0.0,0.0,0.0,5.1,5.0
beef tallow,115,12.8,0.0,0.0,0.0,0.0,0.0,14.0,12.8
goose fat,45,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
duck fat,44,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
mutton tallow,45,5.0,0.0,0.0,0.0,0.0,0.0,5.1,5.0
grapeseed oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
sheanut oil,1927,218.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
almond oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
sunflower oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.617
cashew butter,94,7.9,4.4,2.8,0.8,0.3,0.071,0.0,23.1
canola oil,124,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.132
babassu oil,1927,218.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
teaseed oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
avocado oil,124,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
vegetable palm kernel oil,117,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
coconut oil,117,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.661
safflower oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
vegetable oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.706
apricot kernel oil,40,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5
peanut oil,119,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.575
poppyseed oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
flaxseed oil,120,13.6,0.0,0.086,0.0,0.0,0.0,0.0,13.729
tomatoseed oil,1927,218.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
wheat germ oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
sesame oil,40,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5
corn granola oil,124,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
cocoa butter oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6
olive oil,119,13.5,0.0,0.0,0.0,0.0,0.004,0.0,13.618
palm kernel oil,40,4.5,0.0,0.0,0.0,0.0,0.098,0.0,4.741
mustard oil,124,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
rice bran oil,120,13.6,0.0,0.0,0.0,0.0,0.0,0.0,13.689
vegetable macaroni dry,308,0.9,62.9,11.0,0.0,3.6,0.06,0.0,110.6
chow mein noodles,257,9.9,37.5,5.9,0.5,1.5,0.5,0.0,68.6
chinese noodles,456,0.094,111.9,0.2,0.0,0.7,0.088,0.0,112.906
vegetable macaroni cooked,172,0.1,35.7,6.1,1.5,5.8,0.015,0.0,63.1
corn pasta dry,375,2.2,83.2,7.8,0.0,11.6,0.027,0.0,110.0
egg noodles dry,146,1.7,27.1,5.4,0.7,1.3,0.095,31.9,49.598
whole wheat spaghetti dry,98,0.4,21.2,4.1,0.0,0.0,0.002,0.0,38.0
japanese soba noodles dry,95,0.2,21.1,4.1,0.0,0.0,0.2,0.0,36.1
rice noodles dry,103,0.2,23.6,1.0,0.0,0.5,0.006,0.0,30.6
spinach spaghetti dry,105,0.4,21.2,3.8,0.8,3.0,0.094,0.0,45.4
egg noodles cooked,110,1.7,20.1,3.6,0.3,1.0,0.027,23.2,26.542
japanese somen noodles cooked,231,0.3,48.5,7.0,0.0,0.0,0.3,0.0,70.8
whole wheat macaroni dry,365,1.5,78.8,15.4,0.0,8.7,0.028,0.0,150.2
pasta marinara and ground beef sauce,41,1.6,4.1,2.5,1.0,0.5,0.0,0.2,8.7
macaroni raw,390,1.6,78.4,13.7,2.8,3.4,0.097,0.0,122.7
spaghetti dry,105,0.4,21.1,3.7,0.8,0.9,0.09,0.0,32.9
fusilli cucina,100,0.4,3.4,0.0,0.041,0.0,0.0,0.0,3.8
japanese somen noodles dry,101,0.2,21.0,3.2,0.0,1.2,0.5,0.0,32.5
pasta cooked,301,2.4,57.3,11.8,0.0,0.0,0.073,75.9,87.985
macaroni cooked,221,1.3,43.2,8.1,0.8,2.5,0.071,0.0,55.217
spinach egg noodles dry,145,1.7,26.7,5.6,0.0,2.6,0.096,36.1,59.5
japanese soba noodles cooked,113,0.1,24.4,5.8,0.0,0.0,0.1,0.0,35.4
rice noodles cooked,190,0.4,42.3,3.2,0.052,1.8,0.075,0.0,54.9
whole wheat macaroni cooked,174,0.8,37.2,7.5,1.1,3.9,0.057,0.0,71.9
spaghetti cooked,363,2.1,71.0,13.3,1.3,4.1,0.089,0.0,90.8
whole wheat spaghetti cooked,174,0.8,37.2,7.5,1.1,6.3,0.091,0.0,74.3
waffle,218,10.6,24.7,5.9,0.0,0.0,0.4,51.8,234.547
baked taco shell,61,2.7,8.3,0.8,0.2,0.9,0.004,0.0,25.4
puff pastry,1367,94.3,112.0,18.1,1.8,3.7,0.6,0.0,259.0
blueberry muffin,214,9.2,30.2,2.6,17.9,0.6,0.2,17.1,42.915
bread crumbs,427,5.7,77.7,14.4,6.7,4.9,0.8,0.0,305.5
warm cinnamon roll mcdonalds,113,5.1,15.0,2.0,7.0,0.5,0.1,16.4,39.264
corn muffin,201,5.5,33.7,3.9,11.7,2.2,0.3,17.2,96.069
tortilla,467,1.9,98.4,14.3,5.4,4.7,0.9,0.0,264.7
croutons seasoned,186,7.3,25.4,4.3,1.8,2.0,0.4,2.8,78.5
buttermilk waffle,102,3.1,16.0,2.4,1.5,0.9,0.2,4.3,123.4
flour tortilla,146,3.7,24.1,3.9,1.3,1.2,0.4,0.0,114.4
glazed donut,55,3.0,6.2,0.8,3.0,0.3,0.082,3.9,23.931
corn tortilla,52,0.7,10.7,1.4,0.2,1.5,0.075,0.0,34.0
muffin,169,6.5,23.6,3.9,0.0,1.5,0.3,22.2,151.166
croutons,33,0.5,5.9,1.0,0.0,0.4,0.035,0.0,14.2
donut with jelly filling,289,15.9,33.2,5.0,17.9,0.8,0.4,22.1,77.736
sweet cinnamon rolls,309,13.6,42.2,5.1,26.3,2.0,0.3,54.8,125.783
oat bran muffin,46,1.3,8.2,1.2,1.4,0.8,0.067,0.0,22.9
french cruller donut,169,7.5,24.4,1.3,14.4,0.5,0.1,4.5,45.42
pancakes,86,3.7,10.8,2.4,0.0,0.0,0.2,22.4,100.942
chocolate donut,250,11.9,34.4,2.7,19.2,1.3,0.1,34.2,179.637
sweet cheese rolls,238,12.1,28.8,4.7,0.0,0.8,0.2,50.2,124.9
eclair,234,19.2,11.2,4.4,2.0,0.4,0.1,121.5,68.0
donut with cream filling,307,20.8,25.5,5.4,12.4,0.7,0.3,20.4,75.331
fruit toaster pastry,209,5.6,37.1,2.4,14.8,0.5,0.2,0.0,53.4
donut,192,10.3,22.9,2.3,0.0,0.7,0.2,14.4,63.823
pancakes whole wheat,92,2.9,12.9,3.7,0.0,1.2,0.3,26.8,132.377
keikitos,196,10.6,22.3,2.9,10.8,0.5,0.2,0.0,63.9
zwieback,30,0.7,5.2,0.7,0.9,0.2,0.05,0.6,7.083
chocolate coated donut,81,4.5,9.2,0.9,4.8,0.3,0.099,3.4,20.16
waffle toasted,103,3.2,16.3,2.4,1.7,0.8,0.2,5.0,126.4
cinnamon toaster pastry,206,7.1,34.1,2.6,0.0,0.5,0.2,0.0,63.489
wheat bran bread,89,1.2,17.2,3.2,3.5,1.4,0.2,0.0,50.7
white bread,77,1.0,14.3,2.6,1.6,0.8,0.1,0.0,18.931
oat bran bread,71,1.3,11.9,3.1,2.3,1.4,0.1,0.0,38.121
whole wheat bread natures own,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
high protein bread dr zaks,152,3.0,15.3,0.0,0.6,0.0,0.0,0.0,18.3
wheat bread,79,1.3,13.8,3.1,1.7,1.2,0.1,0.0,19.619
egg bread toasted,117,2.4,19.5,3.9,0.7,0.9,0.2,20.7,65.618
butter toastbrot ja,66,0.9,2.0,0.0,0.4,0.0,0.0,0.0,2.9
vienna bread toasted,93,0.6,18.0,3.8,1.0,0.9,0.2,0.0,38.073
vienna bread,92,0.6,18.1,3.8,0.8,0.8,0.2,0.0,38.633
protein bread,47,0.4,8.3,2.3,0.3,0.6,0.008,0.0,36.0
banana bread,186,6.0,31.1,2.5,0.0,0.6,0.2,24.5,54.061
rice bran bread,66,1.2,11.7,2.4,1.3,1.3,0.081,0.0,36.2
white fibre wonder bread,95,1.0,18.0,3.5,2.0,1.5,0.0,0.1,24.0
focaccia,142,4.5,20.4,5.0,1.0,1.0,0.3,0.0,52.7
oat bran bread toasted,70,1.3,11.8,3.1,2.3,1.3,0.1,0.0,37.631
rye bread,83,1.1,15.5,2.7,1.2,1.9,0.2,0.0,45.6
wheat germ bread,73,0.8,13.5,2.7,1.0,0.6,0.2,0.0,43.598
protein bread toasted,46,0.4,8.2,2.2,0.2,0.6,0.049,0.0,35.3
oatmeal bread,73,1.2,13.1,2.3,2.2,1.1,0.1,0.0,36.227
arepa,215,5.3,36.4,5.4,0.9,2.5,0.3,4.9,137.897
raisin bread toasted,86,1.4,16.5,2.5,1.8,1.4,0.1,0.0,43.7
cracked wheat bread,74,1.1,14.0,2.5,0.0,1.6,0.2,0.0,32.2
garlic bread,151,7.1,17.9,3.6,1.6,1.1,0.2,0.0,42.646
rye bread toasted,82,1.0,15.4,2.7,1.2,1.9,0.2,0.0,45.128
whole wheat bread,128,2.5,23.6,3.9,1.8,2.8,0.2,0.0,49.4
whole wheat bread toasted,128,2.5,23.7,3.9,1.8,2.8,0.2,0.0,49.4
pan dulce bread,231,7.3,35.5,5.9,7.9,1.4,0.1,18.9,106.92
rice bran bread toasted,66,1.3,11.8,2.4,1.3,1.3,0.026,0.0,36.6
pita bread whole wheat,74,0.7,15.4,2.7,0.2,2.1,0.1,0.0,26.0
wheat germ bread toasted,73,0.8,13.6,2.7,1.0,0.6,0.2,0.3,43.706
pumpernickel bread,65,0.8,12.4,2.3,0.1,1.7,0.2,0.0,35.6
frybread,502,18.6,73.4,10.2,3.1,0.0,0.5,10.6,194.9
white bread toasted,83,1.1,15.4,2.5,1.3,0.7,0.2,0.3,54.3
piki bread,109,2.0,20.2,2.5,0.4,2.6,0.028,0.0,80.5
wheat bread toasted,75,1.0,13.4,3.1,1.5,1.1,0.1,0.0,59.243
pita bread,165,0.7,33.4,5.5,0.8,1.3,0.3,0.0,94.1
potato bread,85,1.0,15.1,4.0,3.0,2.0,0.1,0.0,22.272
egg bread,115,2.4,19.1,3.8,0.7,0.9,0.2,20.4,64.622
oatmeal bread toasted,73,1.2,13.2,2.3,2.2,1.1,0.1,0.0,36.622
cheese bread,196,10.0,21.5,5.0,1.0,1.0,0.4,4.8,81.937
pumpernickel bread toasted,80,1.0,15.1,2.8,0.2,2.1,0.2,0.0,43.4
raisin bread,88,1.4,16.7,2.5,1.8,1.4,0.1,0.0,44.09
pumpernickel roll,77,0.8,14.8,3.0,0.1,1.5,0.1,0.0,39.7
cinnamon raisin bagel,71,0.4,14.4,2.5,1.6,0.6,0.047,0.0,24.016
english muffin,127,1.1,25.5,5.0,0.9,2.6,0.2,0.0,137.3
rye dinner roll,123,1.5,22.8,4.4,0.5,2.1,0.3,0.0,44.9
english muffin whole wheat,134,1.4,26.7,5.8,5.3,4.4,0.2,0.0,214.8
dinner roll whole wheat,74,1.3,14.3,2.4,2.4,2.1,0.1,0.0,50.5
dinner roll,76,1.8,12.9,2.4,0.5,1.1,0.1,0.0,68.5
hotdog roll,117,1.6,21.1,4.1,3.1,0.8,0.2,0.0,27.796
bagel,245,1.5,47.9,10.0,6.0,4.0,0.4,0.0,63.783
oat bran bagel,176,0.8,36.8,7.4,1.1,2.5,0.4,0.0,58.051
pain au chocolat de la boulangerie,235,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
egg bagel,72,0.5,13.8,2.8,0.0,0.6,0.1,6.2,22.349
english muffin toasted,140,1.1,27.4,5.4,1.8,1.5,0.2,0.0,141.1
english muffin whole wheat toasted,135,1.4,26.9,5.9,5.4,4.5,0.2,0.0,216.0
biscuit,357,16.5,45.0,7.1,2.2,1.5,0.6,3.0,310.6
french roll,105,1.6,19.1,3.3,0.1,1.2,0.2,0.0,60.8
